OPCODE CLASSIFICATION (Phase 1 pass)
==============================================================================
  op   addr  helpers                              operation
  $7B  $EA20  -                                    unknown
  $7C  $EA20  -                                    unknown
  $7D  $EA20  -                                    unknown
  $7E  $EA20  -                                    unknown
  $7F  $EA20  -                                    unknown
  $80  $EF92  -                                    unknown
  $81  $EA34  fetch_sbyte_relfp                    load_word_via_ptr0_to_A
  $82  $EA2F  fetch_word_imm_relfp, fetch_sbyte_relfp  load_word_via_ptr0_to_A
  $83  $EA48  fetch_sbyte_relfp                    load_word_via_ptr0_to_B
  $84  $EA57  fetch_word_imm_relfp, fetch_word_imm, fetch_sbyte_relfp  load_word_via_ptr0_to_B
  $85  $EA61  fetch_sbyte_relfp                    store_word_from_A_via_ptr0
  $86  $EA70  fetch_word_imm_relfp, fetch_word_imm, fetch_sbyte_relfp  store_word_from_A_via_ptr0
  $87  $EA7A  fetch_sbyte_relfp                    push_word_via_ptr0
  $88  $EA87  fetch_word_imm_relfp, fetch_word_imm, fetch_word_raw  push_word_via_ptr0
  $89  $EAAF  -                                    unknown
  $8A  $EAB9  fetch_word_raw                       unknown
  $8B  $EABE  -                                    unknown
  $8C  $EAC8  fetch_word_raw                       unknown
  $8D  $EACD  -                                    unknown
  $8E  $EAD3  fetch_word_raw                       unknown
  $8F  $EAD9  -                                    unknown
  $90  $EAE8  fetch_word_raw, fetch_word_imm_relfp  unknown
  $91  $EF92  -                                    unknown
  $92  $EF92  -                                    unknown
  $93  $EF92  -                                    unknown
  $94  $EF92  -                                    unknown
  $95  $EF92  -                                    unknown
  $96  $EF92  -                                    unknown
  $97  $EF92  -                                    unknown
  $98  $EF92  -                                    unknown
  $99  $EF92  -                                    unknown
  $9A  $EF92  -                                    unknown
  $9B  $EF92  -                                    unknown
  $9C  $EF92  -                                    unknown
  $9D  $EF92  -                                    unknown
  $9E  $EF92  -                                    unknown
  $9F  $EF92  -                                    unknown
  $A0  $EAED  fetch_word_imm_relfp                 unknown
  $A1  $EAFE  fetch_word_imm_relfp                 unknown
  $A2  $EB0F  fetch_word_imm_relfp                 store_byte_from_A_via_ptr0
  $A3  $EB1E  fetch_word_imm_relfp                 unknown
  $A4  $EA43  fetch_word_imm, fetch_sbyte_relfp    load_word_via_ptr0_to_A
  $A5  $EAF9  fetch_word_imm, fetch_word_imm_relfp  unknown
  $A6  $EA5C  fetch_word_imm, fetch_sbyte_relfp    load_word_via_ptr0_to_B
  $A7  $EB0A  fetch_word_imm, fetch_word_imm_relfp  store_byte_from_A_via_ptr0
  $A8  $EA75  fetch_word_imm, fetch_sbyte_relfp    store_word_from_A_via_ptr0
  $A9  $EB19  fetch_word_imm, fetch_word_imm_relfp  store_byte_from_A_via_ptr0
  $AA  $EA8C  fetch_word_imm, fetch_word_raw       push_word_via_ptr0
  $AB  $EB28  fetch_word_imm                       unknown
  $AC  $EB4E  fetch_word_imm                       unknown
  $AD  $EB7D  fetch_word_raw                       unknown
  $AE  $EB9E  -                                    unknown
  $AF  $EBAC  fetch_word_raw                       unknown
  $B0  $EC9E  -                                    unknown
  $B1  $ECB4  -                                    unknown
  $B2  $F020  -                                    unknown
  $B3  $ECCE  -                                    unknown
  $B4  $ECD5  -                                    unknown
  $B5  $ECF0  -                                    unknown
  $B6  $ED1E  -                                    unknown
  $B7  $F246  -                                    unknown
  $B8  $ED18  -                                    unknown
  $B9  $ED54  -                                    unknown
  $BA  $ED6C  -                                    unknown
  $BB  $EDA1  -                                    unknown
  $BC  $EDB1  -                                    unknown
  $BD  $EDC1  -                                    unknown
  $BE  $EDEE  -                                    unknown
  $BF  $EDD5  -                                    unknown
  $C0  $EE2F  -                                    unknown
  $C1  $EE43  -                                    unknown
  $C2  $EE57  -                                    unknown
  $C3  $EE85  -                                    unknown
  $C4  $EE6E  -                                    unknown
  $C5  $EE9C  -                                    unknown
  $C6  $EEB3  -                                    unknown
  $C7  $EED7  -                                    unknown
  $C8  $EEC5  -                                    unknown
  $C9  $EEE9  -                                    unknown
  $CA  $EEFB  -                                    unknown
  $CB  $EF09  -                                    unknown
  $CC  $EF17  -                                    unknown
  $CD  $EF26  -                                    unknown
  $CE  $EF92  -                                    unknown
  $CF  $EF75  -                                    unknown
  $D0  $EF39  -                                    unknown
  $D1  $EF42  -                                    unknown
  $D2  $EF4D  -                                    unknown
  $D3  $ECAB  -                                    unknown
  $D4  $ECC3  -                                    unknown
  $D5  $EC65  -                                    unknown
  $D6  $EBBB  fetch_word_raw                       unknown
  $D7  $EBC5  fetch_word_raw                       unknown
  $D8  $EBD1  -                                    unknown
  $D9  $EC1D  -                                    unknown
  $DA  $EE02  -                                    unknown
  $DB  $EE11  -                                    unknown
  $DC  $EE20  -                                    unknown
  $DD  $EB43  -                                    unknown
  $DE  $EA91  fetch_word_raw                       unknown
  $DF  $EAA0  fetch_word_raw                       unknown
  $E0  $EF54  fetch_word_raw                       unknown
  $E1  $EF5F  fetch_word_raw                       unknown
  $E2  $EF6A  fetch_word_raw                       unknown
  $E3  $EBD9  -                                    unknown
  $E4  $EBE7  -                                    unknown
  $E5  $EBF3  -                                    unknown
  $E6  $EBFB  -                                    unknown
  $E7  $EC09  -                                    unknown
  $E8  $EC15  -                                    unknown
  $E9  $EB38  fetch_word_imm                       unknown
  $EA  $EB2D  -                                    unknown
  $EB  $EF92  -                                    unknown
  $EC  $EF92  -                                    unknown
  $ED  $EF92  -                                    unknown
  $EE  $EF92  -                                    unknown
  $EF  $EF92  -                                    unknown
  $F0  $EF92  -                                    unknown
  $F1  $EF92  -                                    unknown
  $F2  $EF92  -                                    unknown
  $F3  $EF92  -                                    unknown
  $F4  $EF92  -                                    unknown
  $F5  $EF92  -                                    unknown
  $F6  $EF92  -                                    unknown
  $F7  $EF92  -                                    unknown
  $F8  $EF92  -                                    unknown
  $F9  $EF92  -                                    unknown
  $FA  $EF92  -                                    unknown
  $FB  $EF92  -                                    unknown
  $FC  $EF92  -                                    unknown
  $FD  $EF92  -                                    unknown
  $FE  $EF92  -                                    unknown
  $FF  $EF93  -                                    unknown
